k	accuracy
1	1,00
2	0,98
3	1,00
4	0,98
5	1,00
6	0,98
7	0,98
8	0,98
9	0,98
10	0,98
11	1,00
12	0,98
13	0,98
14	0,98
15	1,00
16	0,98
17	0,98
18	0,98
19	0,98
20	0,98
21	0,98
22	0,98
23	0,98
24	0,98
25	0,98
26	0,98
27	0,98
28	0,98
29	0,98
30	0,98
31	0,98
32	0,98
33	0,98
34	0,98
35	0,98
36	0,98
37	0,98
38	0,96
39	0,96
40	0,93
41	0,93
42	0,93
43	0,93
44	0,91
45	0,93
46	0,89
47	0,93
48	0,89
49	0,89
50	0,89
51	0,89
52	0,89
53	0,89
54	0,89
55	0,89
56	0,89
57	0,89
58	0,91
59	0,91
60	0,91
61	0,91
62	0,91
63	0,91
64	0,91
65	0,91
66	0,91
67	0,91
68	0,91
69	0,91
70	0,67
71	0,67
72	0,64
73	0,67
74	0,64
75	0,64
76	0,64
77	0,60
78	0,60
79	0,33
80	0,33
81	0,33
82	0,33
83	0,33
84	0,33
85	0,33
86	0,33
87	0,33
88	0,33
89	0,33
90	0,33
91	0,33
92	0,33
93	0,33
94	0,33
95	0,33
96	0,33
97	0,33
98	0,33
99	0,33
100	0,33
